timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1763359685741,8,Fixed Window Test,200,OK,Fixed Users Group 1-1,text,true,,348,164,1,1,http://127.0.0.1:8000/request?algo=fixed_window,8,0,2
1763359685750,4,Sliding Window Test,200,OK,Fixed Users Group 1-1,text,true,,380,167,1,1,http://127.0.0.1:8000/request?algo=sliding_counter,4,0,0
1763359685754,3,Token Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,346,164,1,1,http://127.0.0.1:8000/request?algo=token_bucket,3,0,0
1763359685757,2,Leaky Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,348,164,1,1,http://127.0.0.1:8000/request?algo=leaky_bucket,2,0,0
1763359685760,3,Fixed Window Test,200,OK,Fixed Users Group 1-1,text,true,,348,164,1,1,http://127.0.0.1:8000/request?algo=fixed_window,3,0,0
1763359685763,2,Sliding Window Test,200,OK,Fixed Users Group 1-1,text,true,,378,167,1,1,http://127.0.0.1:8000/request?algo=sliding_counter,2,0,0
1763359685765,4,Token Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,346,164,1,1,http://127.0.0.1:8000/request?algo=token_bucket,4,0,0
1763359685769,4,Leaky Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,374,164,1,1,http://127.0.0.1:8000/request?algo=leaky_bucket,4,0,0
1763359685773,2,Fixed Window Test,200,OK,Fixed Users Group 1-1,text,true,,348,164,1,1,http://127.0.0.1:8000/request?algo=fixed_window,2,0,0
1763359685775,3,Sliding Window Test,200,OK,Fixed Users Group 1-1,text,true,,378,167,1,1,http://127.0.0.1:8000/request?algo=sliding_counter,3,0,0
1763359685778,2,Token Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,346,164,1,1,http://127.0.0.1:8000/request?algo=token_bucket,2,0,0
1763359685780,2,Leaky Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,376,164,1,1,http://127.0.0.1:8000/request?algo=leaky_bucket,2,0,0
1763359685783,2,Fixed Window Test,200,OK,Fixed Users Group 1-1,text,true,,348,164,1,1,http://127.0.0.1:8000/request?algo=fixed_window,2,0,0
1763359685785,2,Sliding Window Test,200,OK,Fixed Users Group 1-1,text,true,,378,167,1,1,http://127.0.0.1:8000/request?algo=sliding_counter,2,0,0
1763359685787,1,Token Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,346,164,1,1,http://127.0.0.1:8000/request?algo=token_bucket,1,0,0
1763359685788,2,Leaky Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,374,164,1,1,http://127.0.0.1:8000/request?algo=leaky_bucket,2,0,0
1763359685790,2,Fixed Window Test,200,OK,Fixed Users Group 1-1,text,true,,348,164,1,1,http://127.0.0.1:8000/request?algo=fixed_window,2,0,0
1763359685792,1,Sliding Window Test,200,OK,Fixed Users Group 1-1,text,true,,378,167,1,1,http://127.0.0.1:8000/request?algo=sliding_counter,1,0,0
1763359685793,2,Token Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,346,164,1,1,http://127.0.0.1:8000/request?algo=token_bucket,2,0,0
1763359685795,1,Leaky Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,376,164,1,1,http://127.0.0.1:8000/request?algo=leaky_bucket,1,0,0
1763359685796,2,Fixed Window Test,200,OK,Fixed Users Group 1-1,text,true,,348,164,1,1,http://127.0.0.1:8000/request?algo=fixed_window,2,0,0
1763359685798,1,Sliding Window Test,200,OK,Fixed Users Group 1-1,text,true,,378,167,1,1,http://127.0.0.1:8000/request?algo=sliding_counter,1,0,0
1763359685799,2,Token Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,346,164,1,1,http://127.0.0.1:8000/request?algo=token_bucket,2,0,0
1763359685801,2,Leaky Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,376,164,1,1,http://127.0.0.1:8000/request?algo=leaky_bucket,2,0,0
1763359685803,1,Fixed Window Test,200,OK,Fixed Users Group 1-1,text,true,,348,164,1,1,http://127.0.0.1:8000/request?algo=fixed_window,1,0,0
1763359685805,1,Sliding Window Test,200,OK,Fixed Users Group 1-1,text,true,,378,167,1,1,http://127.0.0.1:8000/request?algo=sliding_counter,1,0,0
1763359685806,2,Token Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,346,164,1,1,http://127.0.0.1:8000/request?algo=token_bucket,2,0,0
1763359685808,1,Leaky Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,376,164,1,1,http://127.0.0.1:8000/request?algo=leaky_bucket,1,0,0
1763359685809,2,Fixed Window Test,200,OK,Fixed Users Group 1-1,text,true,,348,164,1,1,http://127.0.0.1:8000/request?algo=fixed_window,2,0,0
1763359685811,1,Sliding Window Test,200,OK,Fixed Users Group 1-1,text,true,,378,167,1,1,http://127.0.0.1:8000/request?algo=sliding_counter,1,0,0
1763359685812,2,Token Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,346,164,1,1,http://127.0.0.1:8000/request?algo=token_bucket,2,0,0
1763359685814,2,Leaky Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,376,164,1,1,http://127.0.0.1:8000/request?algo=leaky_bucket,2,0,0
1763359685816,2,Fixed Window Test,200,OK,Fixed Users Group 1-1,text,true,,348,164,1,1,http://127.0.0.1:8000/request?algo=fixed_window,2,0,0
1763359685818,2,Sliding Window Test,200,OK,Fixed Users Group 1-1,text,true,,378,167,1,1,http://127.0.0.1:8000/request?algo=sliding_counter,2,0,0
1763359685820,1,Token Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,346,164,1,1,http://127.0.0.1:8000/request?algo=token_bucket,1,0,0
1763359685821,3,Leaky Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,376,164,1,1,http://127.0.0.1:8000/request?algo=leaky_bucket,3,0,0
1763359685824,1,Fixed Window Test,200,OK,Fixed Users Group 1-1,text,true,,348,164,1,1,http://127.0.0.1:8000/request?algo=fixed_window,1,0,0
1763359685825,2,Sliding Window Test,200,OK,Fixed Users Group 1-1,text,true,,379,167,1,1,http://127.0.0.1:8000/request?algo=sliding_counter,2,0,0
1763359685827,1,Token Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,346,164,1,1,http://127.0.0.1:8000/request?algo=token_bucket,1,0,0
1763359685829,9,Leaky Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,376,164,1,1,http://127.0.0.1:8000/request?algo=leaky_bucket,9,0,0
1763359685838,4,Fixed Window Test,200,OK,Fixed Users Group 1-1,text,true,,348,164,1,1,http://127.0.0.1:8000/request?algo=fixed_window,4,0,0
1763359685842,3,Sliding Window Test,200,OK,Fixed Users Group 1-1,text,true,,379,167,1,1,http://127.0.0.1:8000/request?algo=sliding_counter,3,0,0
1763359685845,4,Token Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,346,164,1,1,http://127.0.0.1:8000/request?algo=token_bucket,4,0,0
1763359685849,5,Leaky Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,376,164,1,1,http://127.0.0.1:8000/request?algo=leaky_bucket,5,0,0
1763359685854,3,Fixed Window Test,200,OK,Fixed Users Group 1-1,text,true,,348,164,1,1,http://127.0.0.1:8000/request?algo=fixed_window,3,0,0
1763359685857,2,Sliding Window Test,200,OK,Fixed Users Group 1-1,text,true,,379,167,1,1,http://127.0.0.1:8000/request?algo=sliding_counter,2,0,0
1763359685860,2,Token Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,346,164,1,1,http://127.0.0.1:8000/request?algo=token_bucket,2,0,0
1763359685862,3,Leaky Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,376,164,1,1,http://127.0.0.1:8000/request?algo=leaky_bucket,3,0,0
1763359685865,2,Fixed Window Test,200,OK,Fixed Users Group 1-1,text,true,,348,164,1,1,http://127.0.0.1:8000/request?algo=fixed_window,2,0,0
1763359685867,2,Sliding Window Test,200,OK,Fixed Users Group 1-1,text,true,,379,167,1,1,http://127.0.0.1:8000/request?algo=sliding_counter,2,0,0
1763359685869,3,Token Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,346,164,1,1,http://127.0.0.1:8000/request?algo=token_bucket,3,0,0
1763359685872,2,Leaky Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,376,164,1,1,http://127.0.0.1:8000/request?algo=leaky_bucket,2,0,0
1763359685874,4,Fixed Window Test,200,OK,Fixed Users Group 1-1,text,true,,348,164,1,1,http://127.0.0.1:8000/request?algo=fixed_window,4,0,0
1763359685878,2,Sliding Window Test,200,OK,Fixed Users Group 1-1,text,true,,379,167,1,1,http://127.0.0.1:8000/request?algo=sliding_counter,2,0,0
1763359685880,3,Token Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,346,164,1,1,http://127.0.0.1:8000/request?algo=token_bucket,3,0,0
1763359685883,2,Leaky Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,376,164,1,1,http://127.0.0.1:8000/request?algo=leaky_bucket,2,0,0
1763359685886,2,Fixed Window Test,200,OK,Fixed Users Group 1-1,text,true,,348,164,1,1,http://127.0.0.1:8000/request?algo=fixed_window,2,0,0
1763359685889,2,Sliding Window Test,200,OK,Fixed Users Group 1-1,text,true,,379,167,1,1,http://127.0.0.1:8000/request?algo=sliding_counter,2,0,0
1763359685891,2,Token Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,346,164,1,1,http://127.0.0.1:8000/request?algo=token_bucket,2,0,0
1763359685894,3,Leaky Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,376,164,1,1,http://127.0.0.1:8000/request?algo=leaky_bucket,3,0,0
1763359685897,2,Fixed Window Test,200,OK,Fixed Users Group 1-1,text,true,,348,164,1,1,http://127.0.0.1:8000/request?algo=fixed_window,2,0,0
1763359685899,3,Sliding Window Test,200,OK,Fixed Users Group 1-1,text,true,,379,167,1,1,http://127.0.0.1:8000/request?algo=sliding_counter,3,0,0
1763359685902,3,Token Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,346,164,1,1,http://127.0.0.1:8000/request?algo=token_bucket,3,0,0
1763359685905,4,Leaky Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,376,164,1,1,http://127.0.0.1:8000/request?algo=leaky_bucket,4,0,0
1763359685909,3,Fixed Window Test,200,OK,Fixed Users Group 1-1,text,true,,348,164,1,1,http://127.0.0.1:8000/request?algo=fixed_window,3,0,0
1763359685912,2,Sliding Window Test,200,OK,Fixed Users Group 1-1,text,true,,379,167,1,1,http://127.0.0.1:8000/request?algo=sliding_counter,2,0,0
1763359685914,3,Token Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,346,164,1,1,http://127.0.0.1:8000/request?algo=token_bucket,3,0,0
1763359685917,3,Leaky Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,376,164,1,1,http://127.0.0.1:8000/request?algo=leaky_bucket,2,0,0
1763359685920,2,Fixed Window Test,200,OK,Fixed Users Group 1-1,text,true,,348,164,1,1,http://127.0.0.1:8000/request?algo=fixed_window,2,0,0
1763359685922,2,Sliding Window Test,200,OK,Fixed Users Group 1-1,text,true,,379,167,1,1,http://127.0.0.1:8000/request?algo=sliding_counter,2,0,0
1763359685924,2,Token Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,346,164,1,1,http://127.0.0.1:8000/request?algo=token_bucket,2,0,0
1763359685927,2,Leaky Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,376,164,1,1,http://127.0.0.1:8000/request?algo=leaky_bucket,2,0,0
1763359685929,3,Fixed Window Test,200,OK,Fixed Users Group 1-1,text,true,,348,164,1,1,http://127.0.0.1:8000/request?algo=fixed_window,3,0,0
1763359685932,3,Sliding Window Test,200,OK,Fixed Users Group 1-1,text,true,,379,167,1,1,http://127.0.0.1:8000/request?algo=sliding_counter,3,0,0
1763359685935,3,Token Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,346,164,1,1,http://127.0.0.1:8000/request?algo=token_bucket,3,0,0
1763359685938,2,Leaky Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,376,164,2,2,http://127.0.0.1:8000/request?algo=leaky_bucket,2,0,0
1763359685941,3,Fixed Window Test,200,OK,Fixed Users Group 1-1,text,true,,348,164,2,2,http://127.0.0.1:8000/request?algo=fixed_window,3,0,0
1763359685939,6,Fixed Window Test,200,OK,Fixed Users Group 1-2,text,true,,348,164,2,2,http://127.0.0.1:8000/request?algo=fixed_window,6,0,2
1763359685944,3,Sliding Window Test,200,OK,Fixed Users Group 1-1,text,true,,379,167,2,2,http://127.0.0.1:8000/request?algo=sliding_counter,3,0,0
1763359685945,3,Sliding Window Test,200,OK,Fixed Users Group 1-2,text,true,,379,167,2,2,http://127.0.0.1:8000/request?algo=sliding_counter,3,0,0
1763359685947,2,Token Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,346,164,2,2,http://127.0.0.1:8000/request?algo=token_bucket,2,0,0
1763359685948,2,Token Bucket Test,200,OK,Fixed Users Group 1-2,text,true,,346,164,2,2,http://127.0.0.1:8000/request?algo=token_bucket,2,0,0
1763359685949,2,Leaky Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,376,164,2,2,http://127.0.0.1:8000/request?algo=leaky_bucket,2,0,0
1763359685950,3,Leaky Bucket Test,200,OK,Fixed Users Group 1-2,text,true,,376,164,2,2,http://127.0.0.1:8000/request?algo=leaky_bucket,3,0,0
1763359685952,2,Fixed Window Test,200,OK,Fixed Users Group 1-1,text,true,,348,164,2,2,http://127.0.0.1:8000/request?algo=fixed_window,2,0,0
1763359685953,2,Fixed Window Test,200,OK,Fixed Users Group 1-2,text,true,,348,164,2,2,http://127.0.0.1:8000/request?algo=fixed_window,2,0,0
1763359685954,2,Sliding Window Test,200,OK,Fixed Users Group 1-1,text,true,,379,167,2,2,http://127.0.0.1:8000/request?algo=sliding_counter,2,0,0
1763359685955,2,Sliding Window Test,200,OK,Fixed Users Group 1-2,text,true,,379,167,2,2,http://127.0.0.1:8000/request?algo=sliding_counter,2,0,0
1763359685956,2,Token Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,346,164,2,2,http://127.0.0.1:8000/request?algo=token_bucket,2,0,0
1763359685957,2,Token Bucket Test,200,OK,Fixed Users Group 1-2,text,true,,346,164,2,2,http://127.0.0.1:8000/request?algo=token_bucket,2,0,0
1763359685958,2,Leaky Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,376,164,2,2,http://127.0.0.1:8000/request?algo=leaky_bucket,2,0,0
1763359685959,2,Leaky Bucket Test,200,OK,Fixed Users Group 1-2,text,true,,376,164,2,2,http://127.0.0.1:8000/request?algo=leaky_bucket,2,0,0
1763359685960,2,Fixed Window Test,200,OK,Fixed Users Group 1-1,text,true,,348,164,2,2,http://127.0.0.1:8000/request?algo=fixed_window,2,0,0
1763359685961,2,Fixed Window Test,200,OK,Fixed Users Group 1-2,text,true,,348,164,2,2,http://127.0.0.1:8000/request?algo=fixed_window,2,0,0
1763359685962,2,Sliding Window Test,200,OK,Fixed Users Group 1-1,text,true,,379,167,2,2,http://127.0.0.1:8000/request?algo=sliding_counter,2,0,0
1763359685963,2,Sliding Window Test,200,OK,Fixed Users Group 1-2,text,true,,379,167,2,2,http://127.0.0.1:8000/request?algo=sliding_counter,2,0,0
1763359685964,1,Token Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,346,164,2,2,http://127.0.0.1:8000/request?algo=token_bucket,1,0,0
1763359685965,2,Token Bucket Test,200,OK,Fixed Users Group 1-2,text,true,,346,164,2,2,http://127.0.0.1:8000/request?algo=token_bucket,2,0,0
1763359685965,3,Leaky Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,376,164,2,2,http://127.0.0.1:8000/request?algo=leaky_bucket,3,0,0
1763359685967,2,Leaky Bucket Test,200,OK,Fixed Users Group 1-2,text,true,,376,164,2,2,http://127.0.0.1:8000/request?algo=leaky_bucket,2,0,0
1763359685968,1,Fixed Window Test,200,OK,Fixed Users Group 1-1,text,true,,348,164,2,2,http://127.0.0.1:8000/request?algo=fixed_window,1,0,0
1763359685969,2,Fixed Window Test,200,OK,Fixed Users Group 1-2,text,true,,348,164,2,2,http://127.0.0.1:8000/request?algo=fixed_window,2,0,0
1763359685969,3,Sliding Window Test,200,OK,Fixed Users Group 1-1,text,true,,379,167,2,2,http://127.0.0.1:8000/request?algo=sliding_counter,3,0,0
1763359685971,2,Sliding Window Test,200,OK,Fixed Users Group 1-2,text,true,,379,167,2,2,http://127.0.0.1:8000/request?algo=sliding_counter,2,0,0
1763359685972,2,Token Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,346,164,2,2,http://127.0.0.1:8000/request?algo=token_bucket,2,0,0
1763359685973,2,Token Bucket Test,200,OK,Fixed Users Group 1-2,text,true,,346,164,2,2,http://127.0.0.1:8000/request?algo=token_bucket,2,0,0
1763359685974,2,Leaky Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,370,164,2,2,http://127.0.0.1:8000/request?algo=leaky_bucket,2,0,0
1763359685975,2,Leaky Bucket Test,200,OK,Fixed Users Group 1-2,text,true,,376,164,2,2,http://127.0.0.1:8000/request?algo=leaky_bucket,2,0,0
1763359685976,1,Fixed Window Test,200,OK,Fixed Users Group 1-1,text,true,,348,164,2,2,http://127.0.0.1:8000/request?algo=fixed_window,1,0,0
1763359685977,1,Fixed Window Test,200,OK,Fixed Users Group 1-2,text,true,,348,164,2,2,http://127.0.0.1:8000/request?algo=fixed_window,1,0,0
1763359685977,3,Sliding Window Test,200,OK,Fixed Users Group 1-1,text,true,,379,167,2,2,http://127.0.0.1:8000/request?algo=sliding_counter,3,0,0
1763359685978,2,Sliding Window Test,200,OK,Fixed Users Group 1-2,text,true,,379,167,2,2,http://127.0.0.1:8000/request?algo=sliding_counter,2,0,0
1763359685980,2,Token Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,346,164,2,2,http://127.0.0.1:8000/request?algo=token_bucket,2,0,0
1763359685980,2,Token Bucket Test,200,OK,Fixed Users Group 1-2,text,true,,346,164,2,2,http://127.0.0.1:8000/request?algo=token_bucket,2,0,0
1763359685982,2,Leaky Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,376,164,2,2,http://127.0.0.1:8000/request?algo=leaky_bucket,2,0,0
1763359685982,3,Leaky Bucket Test,200,OK,Fixed Users Group 1-2,text,true,,376,164,2,2,http://127.0.0.1:8000/request?algo=leaky_bucket,3,0,0
1763359685984,2,Fixed Window Test,200,OK,Fixed Users Group 1-1,text,true,,348,164,2,2,http://127.0.0.1:8000/request?algo=fixed_window,2,0,0
1763359685985,2,Fixed Window Test,200,OK,Fixed Users Group 1-2,text,true,,348,164,2,2,http://127.0.0.1:8000/request?algo=fixed_window,2,0,0
1763359685986,2,Sliding Window Test,200,OK,Fixed Users Group 1-1,text,true,,379,167,2,2,http://127.0.0.1:8000/request?algo=sliding_counter,2,0,0
1763359685987,2,Sliding Window Test,200,OK,Fixed Users Group 1-2,text,true,,379,167,2,2,http://127.0.0.1:8000/request?algo=sliding_counter,2,0,0
1763359685988,2,Token Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,346,164,2,2,http://127.0.0.1:8000/request?algo=token_bucket,2,0,0
1763359685989,2,Token Bucket Test,200,OK,Fixed Users Group 1-2,text,true,,346,164,2,2,http://127.0.0.1:8000/request?algo=token_bucket,2,0,0
1763359685990,2,Leaky Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,376,164,2,2,http://127.0.0.1:8000/request?algo=leaky_bucket,2,0,0
1763359685991,1,Leaky Bucket Test,200,OK,Fixed Users Group 1-2,text,true,,376,164,2,2,http://127.0.0.1:8000/request?algo=leaky_bucket,1,0,0
1763359685992,2,Fixed Window Test,200,OK,Fixed Users Group 1-1,text,true,,348,164,2,2,http://127.0.0.1:8000/request?algo=fixed_window,2,0,0
1763359685992,2,Fixed Window Test,200,OK,Fixed Users Group 1-2,text,true,,348,164,2,2,http://127.0.0.1:8000/request?algo=fixed_window,2,0,0
1763359685994,2,Sliding Window Test,200,OK,Fixed Users Group 1-1,text,true,,379,167,2,2,http://127.0.0.1:8000/request?algo=sliding_counter,2,0,0
1763359685994,3,Sliding Window Test,200,OK,Fixed Users Group 1-2,text,true,,379,167,2,2,http://127.0.0.1:8000/request?algo=sliding_counter,3,0,0
1763359685997,2,Token Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,346,164,2,2,http://127.0.0.1:8000/request?algo=token_bucket,2,0,0
1763359685997,3,Token Bucket Test,200,OK,Fixed Users Group 1-2,text,true,,346,164,2,2,http://127.0.0.1:8000/request?algo=token_bucket,3,0,0
1763359685999,2,Leaky Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,376,164,2,2,http://127.0.0.1:8000/request?algo=leaky_bucket,2,0,0
1763359686000,3,Leaky Bucket Test,200,OK,Fixed Users Group 1-2,text,true,,376,164,2,2,http://127.0.0.1:8000/request?algo=leaky_bucket,3,0,0
1763359686001,3,Fixed Window Test,200,OK,Fixed Users Group 1-1,text,true,,348,164,2,2,http://127.0.0.1:8000/request?algo=fixed_window,3,0,0
1763359686003,2,Fixed Window Test,200,OK,Fixed Users Group 1-2,text,true,,348,164,2,2,http://127.0.0.1:8000/request?algo=fixed_window,2,0,0
1763359686004,2,Sliding Window Test,200,OK,Fixed Users Group 1-1,text,true,,379,167,2,2,http://127.0.0.1:8000/request?algo=sliding_counter,2,0,0
1763359686005,2,Sliding Window Test,200,OK,Fixed Users Group 1-2,text,true,,379,167,2,2,http://127.0.0.1:8000/request?algo=sliding_counter,2,0,0
1763359686006,2,Token Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,346,164,2,2,http://127.0.0.1:8000/request?algo=token_bucket,2,0,0
1763359686007,2,Token Bucket Test,200,OK,Fixed Users Group 1-2,text,true,,346,164,2,2,http://127.0.0.1:8000/request?algo=token_bucket,2,0,0
1763359686008,2,Leaky Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,376,164,2,2,http://127.0.0.1:8000/request?algo=leaky_bucket,2,0,0
1763359686009,2,Leaky Bucket Test,200,OK,Fixed Users Group 1-2,text,true,,376,164,2,2,http://127.0.0.1:8000/request?algo=leaky_bucket,2,0,0
1763359686010,2,Fixed Window Test,200,OK,Fixed Users Group 1-1,text,true,,348,164,2,2,http://127.0.0.1:8000/request?algo=fixed_window,2,0,0
1763359686011,2,Fixed Window Test,200,OK,Fixed Users Group 1-2,text,true,,348,164,2,2,http://127.0.0.1:8000/request?algo=fixed_window,2,0,0
1763359686012,2,Sliding Window Test,200,OK,Fixed Users Group 1-1,text,true,,379,167,2,2,http://127.0.0.1:8000/request?algo=sliding_counter,2,0,0
1763359686013,2,Sliding Window Test,200,OK,Fixed Users Group 1-2,text,true,,379,167,2,2,http://127.0.0.1:8000/request?algo=sliding_counter,2,0,0
1763359686014,2,Token Bucket Test,200,OK,Fixed Users Group 1-1,text,true,,346,164,2,2,http://127.0.0.1:8000/request?algo=token_bucket,2,0,0
